mysql> SELECT city, province, LOWER(country), postalCode FROM Address ORDER BY country DESC;
+----------------------------------+--------------------------------+----------------------------------------------+------------+
| city                             | province                       | LOWER(country)                               | postalCode |
| Lower Hutt                       | NI                             | congo, the democratic republic of the        | 25329      |
| San José de Alajuela             | A                              | congo, the democratic republic of the        | 694490     |
| Metairie                         | LA                             | congo, the democratic republic of the        | GU82 8OB   |
| Serik                            | Antalya                        | congo, the democratic republic of the        | RC9 7MH    |
| Maubeuge                         | Nord-Pas-de-Calais             | congo, the democratic republic of the        | 860836     |
| Beausejour                       | MB                             | congo, the democratic republic of the        | 8572       |
| Camaragibe                       | PE                             | congo (brazzaville)                          | 27301      |
| Maryborough                      | QLD                            | congo (brazzaville)                          | 2272TF     |
| Vigo                             | GA                             | congo (brazzaville)                          | 34753      |
| Vienna                           | Wie                            | congo (brazzaville)                          | 18247      |
| Leighton Buzzard                 | Bedfordshire                   | congo (brazzaville)                          | 97189      |
| Tarnów                           | Ma?opolskie                    | congo (brazzaville)                          | E8H 1B1    |
| Sapele                           | DE                             | congo (brazzaville)                          | 5025       |
| Stratford-upon-Avon              | Warwickshire                   | congo (brazzaville)                          | 19622      |
| Vitória da Conquista             | Bahia                          | congo (brazzaville)                          | 02889      |
| Feilding                         | NI                             | congo (brazzaville)                          | 702210     |
| Dublin                           | L                              | congo (brazzaville)                          | 46418      |
| Henderson                        | Nevada                         | comoros                                      | 81876      |
| Ife                              | OS                             | comoros                                      | 860708     |
| Vienna                           | Vienna                         | comoros                                      | 2902       |
| Reading                          | Pennsylvania                   | comoros                                      | 07244      |
| Penrith                          | Cumberland                     | comoros                                      | 41812-539  |
| San Rafael                       | Alajuela                       | comoros                                      | RB20 2FP   |
| Berlin                           | Berlin                         | comoros                                      | 508541     |
| Taupo                            | NI                             | comoros                                      | 73280      |
| Spijkenisse                      | Z.                             | colombia                                     | 8710TR     |
| Melbourne                        | Victoria                       | colombia                                     | 31602      |
| Mount Isa                        | QLD                            | colombia                                     | 03807-370  |
| Magdeburg                        | Saxony-Anhalt                  | colombia                                     | 8253       |
| Oss                              | Noord Brabant                  | colombia                                     | 58363      |
| College                          | Alaska                         | colombia                                     | 5695       |
| Cork                             | M                              | colombia                                     | 2465       |
| Sankt Ingbert                    | Saarland                       | colombia                                     | 56-270     |
| Memphis                          | Tennessee                      | cocos (keeling) islands                      | 06396      |
| Wellington                       | North Island                   | cocos (keeling) islands                      | 72-169     |
| Lienz                            | Tir                            | cocos (keeling) islands                      | 71016      |
| Galway                           | C                              | cocos (keeling) islands                      | 69-665     |
| Hollogne-sur-Geer                | Luik                           | cocos (keeling) islands                      | 71258      |
| Ijebu Ode                        | Ogun                           | cocos (keeling) islands                      | 6326       |
| Cabano                           | QC                             | cocos (keeling) islands                      | 81054      |
| Kitchener                        | ON                             | cocos (keeling) islands                      | 92496      |
| L'Hospitalet de Llobregat        | Catalunya                      | cocos (keeling) islands                      | 27200      |
| Jaén                             | Andalucía                      | cocos (keeling) islands                      | N4S 9G2    |
| Jundiaí                          | São Paulo                      | cocos (keeling) islands                      | BQ17 5GU   |
| Fresno                           | CA                             | cocos (keeling) islands                      | 845528     |
| Wangaratta                       | VIC                            | cocos (keeling) islands                      | 51284      |
| Przemy?l                         | Podkarpackie                   | christmas island                             | 5423       |
| Vienna                           | Vienna                         | christmas island                             | 30518      |
| Napier                           | NI                             | christmas island                             | 11306      |
| Gold Coast                       | Queensland                     | christmas island                             | 4462       |
| Sluis                            | Zl                             | christmas island                             | 6587       |
| Sete Lagoas                      | Minas Gerais                   | christmas island                             | 2648HH     |
| Dewas                            | Madhya Pradesh                 | christmas island                             | 434036     |
| Berlin                           | Berlin                         | christmas island                             | 6943       |
| Oldenzaal                        | Overijssel                     | christmas island                             | 3819       |
| Virginia Beach                   | VA                             | christmas island                             | 59-544     |
| ?om?a                            | PD                             | christmas island                             | 72465      |
| Phoenix                          | Arizona                        | christmas island                             | 7953       |
| Puri                             | Odisha                         | china                                        | 40215      |
| Goulburn                         | NSW                            | china                                        | 28637      |
| Des Moines                       | Iowa                           | china                                        | 71305      |
| Fort Saskatchewan                | Alberta                        | china                                        | 68371      |
| Bludenz                          | Vorarlberg                     | china                                        | 588027     |
| Warwick                          | WA                             | china                                        | 36163      |
| Zamo??                           | LU                             | chile                                        | 591428     |
| Tintange                         | Luxemburg                      | chile                                        | 5981       |
| North Bay                        | Ontario                        | chile                                        | 5895       |
| Kielce                           | SK                             | chile                                        | 61704      |
| Hope                             | BC                             | chile                                        | 70239      |
| Bazzano                          | ERM                            | chile                                        | J2A 5Y2    |
| Maubeuge                         | Nord-Pas-de-Calais             | chile                                        | 66074      |
| Timon                            | Maranhão                       | chile                                        | 467501     |
| Blue Mountains                   | NSW                            | chad                                         | 24384      |
| Cork                             | M                              | chad                                         | 25-168     |
| Vienna                           | Wie                            | chad                                         | 1180HY     |
| Dublin                           | Leinster                       | chad                                         | 63356-147  |
| Zamo??                           | Lubelskie                      | chad                                         | 5529YI     |
| San Lazzaro di Savena            | Emilia-Romagna                 | chad                                         | 3612ZV     |
| Cz?stochowa                      | Sl?skie                        | chad                                         | 17080      |
| San Miguel                       | SJ                             | chad                                         | 6030       |
| Suwa?ki                          | Podlaskie                      | chad                                         | XP0 8UP    |
| Hamburg                          | HH                             | chad                                         | 3280       |
| Villenave-d'Ornon                | Aquitaine                      | central african republic                     | 7341JK     |
| Valenciennes                     | Nord-Pas-de-Calais             | central african republic                     | 27784      |
| Monmouth                         | MO                             | central african republic                     | 11511      |
| Belfast                          | Ulster                         | central african republic                     | H8E 8E2    |
| Kaduna                           | KD                             | central african republic                     | 4249       |
| Dublin                           | L                              | central african republic                     | 25721      |
| Waiheke Island                   | NI                             | central african republic                     | LY7 0HN    |
| Ku?adas?                         | Ayd                            | central african republic                     | 45222-729  |
| Ávila                            | CL                             | cayman islands                               | 98964      |
| Kano                             | KN                             | cayman islands                               | 10550      |
| Vienna                           | Vienna                         | cayman islands                               | 611039     |
| Dublin                           | L                              | cayman islands                               | 45042      |
| Tarnów                           | Ma?opolskie                    | cayman islands                               | 58196      |
| Nakusp                           | BC                             | cayman islands                               | V1G 3B3    |
| Weesp                            | N.                             | cayman islands                               | 41808      |
| Davangere                        | KA                             | cayman islands                               | YA1 4OI    |
| K?dzierzyn-Ko?le                 | Opolskie                       | cayman islands                               | P9W 3V4    |
| Galway                           | C                              | cayman islands                               | 9916       |
| Belfast                          | U                              | cape verde                                   | 11509      |
| Helmond                          | Noord Brabant                  | cape verde                                   | 94616      |
| Papasidero                       | Calabria                       | cape verde                                   | 7410       |
| Kawartha Lakes                   | ON                             | cape verde                                   | 386850     |
| Tuscaloosa                       | AL                             | cape verde                                   | 4713       |
| Diadema                          | São Paulo                      | cape verde                                   | LD66 2TY   |
| Ribeirão das Neves               | Minas Gerais                   | cape verde                                   | Y6T 9E0    |
| Tampa                            | Florida                        | cape verde                                   | 20704      |
| Ankara                           | Ank                            | cape verde                                   | 68923-391  |
| Castelló                         | Comunitat Valenciana           | cape verde                                   | 294743     |
| Cork                             | M                              | canada                                       | 774342     |
| Rollegem                         | WV                             | canada                                       | 89017      |
| Angers                           | Pays de la Loire               | canada                                       | 50830      |
| Quesada                          | Alajuela                       | canada                                       | G3Y 6V4    |
| Mabompr?                         | LX                             | canada                                       | 604338     |
| Tirrases                         | SJ                             | canada                                       | 61422      |
| Anápolis                         | Goiás                          | canada                                       | 875190     |
| Calmar                           | AB                             | canada                                       | 21207      |
| Moulins                          | AU                             | canada                                       | 58-679     |
| Pietraroja                       | CAM                            | canada                                       | 6840       |
| Satara                           | MH                             | canada                                       | 3919       |
| Springfield                      | Missouri                       | canada                                       | 51705      |
| Baulers                          | Waals-Brabant                  | canada                                       | L7B 3A7    |
| San Francisco                    | California                     | canada                                       | 7547       |
| Hillsboro                        | OR                             | canada                                       | 76169-629  |
| Ponta Grossa                     | PR                             | cameroon                                     | F35 5YS    |
| Zutphen                          | Gl                             | cameroon                                     | 841392     |
| Roosendaal                       | N.                             | cameroon                                     | 1919       |
| Palmerston North                 | North Island                   | cameroon                                     | 71608      |
| Tuscaloosa                       | AL                             | cameroon                                     | 6616       |
| Dos Hermanas                     | AN                             | cameroon                                     | 89905      |
| Comblain-la-Tour                 | LU                             | cameroon                                     | 6191       |
| Madrid                           | Madrid                         | cameroon                                     | 2407NV     |
| Curridabat                       | SJ                             | cameroon                                     | AX7A 1JX   |
| Porirua                          | North Island                   | cambodia                                     | 83187      |
| Uyo                              | Akwa Ibom                      | cambodia                                     | 19280      |
| Ulloa (Barrial)                  | H                              | cambodia                                     | 5713       |
| Halkirk                          | CA                             | cambodia                                     | 6493       |
| Vienna                           | Vienna                         | cambodia                                     | 96604      |
| Istanbul                         | Istanbul                       | cambodia                                     | 21-961     |
| Collecchio                       | ERM                            | cambodia                                     | 315468     |
| Springfield                      | Massachusetts                  | cambodia                                     | 85694-975  |
| San Pablo                        | H                              | cambodia                                     | 91406      |
| Birmingham                       | Warwickshire                   | cambodia                                     | 10752      |
| Camponogara                      | VEN                            | cambodia                                     | 34281      |
| Cork                             | Munster                        | burundi                                      | 57658-449  |
| Preore                           | Trentino-Alto Adige            | burundi                                      | S7P 1P1    |
| Zaria                            | KD                             | burundi                                      | 8794OV     |
| Deventer                         | Overijssel                     | burundi                                      | 0915       |
| K?dzierzyn-Ko?le                 | OP                             | burundi                                      | 3449       |
| Fréjus                           | Provence-Alpes-Côte d'Azur     | burundi                                      | 03598      |
| Cambridge                        | North Island                   | burundi                                      | 85333      |
| Argenteuil                       | Île-de-France                  | burundi                                      | 1775       |
| Tuscaloosa                       | AL                             | burundi                                      | 9735       |
| Gda?sk                           | Pomorskie                      | burundi                                      | 90129      |
| Cork                             | M                              | burundi                                      | 8543       |
| Albi                             | MI                             | burkina faso                                 | 17501      |
| Kilsyth                          | ST                             | burkina faso                                 | 12300      |
| Portofino                        | Liguria                        | burkina faso                                 | 66526      |
| Berlin                           | Berlin                         | burkina faso                                 | 7697       |
| Monghidoro                       | Emilia-Romagna                 | burkina faso                                 | 3104       |
| Grand-Leez                       | NA                             | burkina faso                                 | 9164       |
| Randazzo                         | SIC                            | bulgaria                                     | 99540      |
| Karacabey                        | Bursa                          | bulgaria                                     | 5883       |
| San Antonio                      | Texas                          | bulgaria                                     | 2476FM     |
| Antakya                          | Hat                            | bulgaria                                     | FD3 8IS    |
| Ilkeston                         | Derbyshire                     | bulgaria                                     | 5624       |
| Istanbul                         | Istanbul                       | bulgaria                                     | 824046     |
| Rio Verde                        | Goiás                          | bulgaria                                     | 11416      |
| Harderwijk                       | Gelderland                     | bulgaria                                     | 28311      |
| Hamilton                         | North Island                   | bulgaria                                     | 58918      |
| Hugli-Chinsurah                  | WB                             | brunei                                       | 54012      |
| Vienna                           | Wie                            | brunei                                       | 71311      |
| Hapur                            | Uttar Pradesh                  | brunei                                       | 07187      |
| Brahmapur                        | OR                             | brunei                                       | 92-920     |
| Inuvik                           | NT                             | brunei                                       | 995739     |
| Mildura                          | Victoria                       | brunei                                       | 77-525     |
| Ödemi?                           | ?z                             | brunei                                       | 3222       |
| Konin                            | WP                             | brunei                                       | 38947      |
| Belford Roxo                     | RJ                             | british indian ocean territory               | 07555      |
| Hamburg                          | Hamburg                        | british indian ocean territory               | 31841      |
| Uyo                              | AK                             | british indian ocean territory               | 1564       |
| Stroud                           | Gloucestershire                | british indian ocean territory               | 324091     |
| Deschambault                     | QC                             | british indian ocean territory               | VO02 2IZ   |
| Tarnów                           | Ma?opolskie                    | british indian ocean territory               | 0982MY     |
| Dutse                            | JI                             | british indian ocean territory               | 15085      |
| Caprauna                         | PIE                            | british indian ocean territory               | 02675      |
| Middelburg                       | Zl                             | british indian ocean territory               | 45958      |
| Poole                            | DO                             | brazil                                       | 429351     |
| Essex                            | ON                             | brazil                                       | 70319      |
| Armstrong                        | BC                             | brazil                                       | 583101     |
| Koszalin                         | ZP                             | brazil                                       | 11054-629  |
| Soissons                         | PI                             | brazil                                       | 02441      |
| Jonesboro                        | Arkansas                       | brazil                                       | 74779      |
| Alcorcón                         | Madrid                         | brazil                                       | 73058      |
| Hearst                           | Ontario                        | brazil                                       | 09489      |
| High Level                       | AB                             | brazil                                       | 2757       |
| Galway                           | C                              | brazil                                       | 4720VG     |
| Purral                           | SJ                             | brazil                                       | 09841      |
| Bingen                           | RP                             | brazil                                       | 05868      |
| Milwaukee                        | Wisconsin                      | brazil                                       | 0832       |
| Chandler                         | Arizona                        | brazil                                       | 30881      |
| Minna                            | Niger                          | bouvet island                                | 04251-003  |
| Maryborough                      | QLD                            | bouvet island                                | 74420      |
| Palakkad                         | KL                             | bouvet island                                | 9668OJ     |
| Wilmington                       | Delaware                       | bouvet island                                | 1797       |
| Dublin                           | L                              | bouvet island                                | Y8H 8T7    |
| Gore                             | SI                             | bouvet island                                | T7J 4TR    |
| Udaipur                          | RJ                             | bouvet island                                | 2550       |
| Rekem                            | L.                             | bouvet island                                | 304076     |
| Nijmegen                         | Gl                             | bouvet island                                | 13274-126  |
| Castle Douglas                   | KK                             | bouvet island                                | 55711      |
| Anglet                           | Aquitaine                      | bouvet island                                | 22550-360  |
| Waterbury                        | Connecticut                    | botswana                                     | 39672      |
| Kitchener                        | ON                             | botswana                                     | 18247-687  |
| Vienna                           | Wie                            | botswana                                     | 3784       |
| Leganés                          | MA                             | botswana                                     | 11753      |
| Götzis                           | Vbg                            | botswana                                     | 7632       |
| Tarsus                           | Mersin                         | botswana                                     | 20689      |
| Allappuzha                       | KL                             | botswana                                     | 5742       |
| Gorinchem                        | Zuid Holland                   | botswana                                     | 4954       |
| Badalona                         | Catalunya                      | botswana                                     | M6T 9W3    |
| Hamburg                          | HH                             | botswana                                     | 7778DF     |
| Musselburgh                      | ML                             | botswana                                     | 03309      |
| Issy-les-Moulineaux              | IL                             | botswana                                     | 20640      |
| Rockford                         | IL                             | bosnia and herzegovina                       | 27276      |
| Cambridge                        | North Island                   | bosnia and herzegovina                       | 19168      |
| New Maryland                     | NB                             | bosnia and herzegovina                       | 1283       |
| Campinas                         | SP                             | bosnia and herzegovina                       | A0P 8L2    |
| Velaine-sur-Sambre               | NA                             | bosnia and herzegovina                       | 60317      |
| Torino                           | Piemonte                       | bosnia and herzegovina                       | 175604     |
| Tarnów                           | Ma?opolskie                    | bosnia and herzegovina                       | 41505      |
| Berlin                           | Berlin                         | bosnia and herzegovina                       | 733416     |
| Wijnegem                         | Antwerpen                      | bosnia and herzegovina                       | 245702     |
| Abolens                          | LU                             | bonaire, sint eustatius and saba             | 17477      |
| San Pablo                        | Heredia                        | bonaire, sint eustatius and saba             | 24055      |
| Dublin                           | Leinster                       | bonaire, sint eustatius and saba             | 0896PD     |
| Patarrá                          | San José                       | bonaire, sint eustatius and saba             | 12708      |
| Salem                            | Oregon                         | bonaire, sint eustatius and saba             | 7899ST     |
| Campinas                         | São Paulo                      | bonaire, sint eustatius and saba             | 51-359     |
| Sokoto                           | Sokoto                         | bonaire, sint eustatius and saba             | 2579       |
| Barcelona                        | CA                             | bonaire, sint eustatius and saba             | B1L 3E3    |
| Siedlce                          | MA                             | bonaire, sint eustatius and saba             | 42447      |
| Cap-Saint-Ignace                 | QC                             | bolivia                                      | 30005      |
| Newmarket                        | ON                             | bolivia                                      | 5471       |
| Sosnowiec                        | Sl?skie                        | bolivia                                      | 1308       |
| Murray Bridge                    | South Australia                | bolivia                                      | 4129       |
| Wageningen                       | Gelderland                     | bolivia                                      | 6528       |
| Saint-Denis                      | IL                             | bolivia                                      | 9735SX     |
| Berlin                           | BE                             | bhutan                                       | 841611     |
| Belfast                          | U                              | bhutan                                       | 98-562     |
| Valladolid                       | CL                             | bhutan                                       | 0850       |
| Palma de Mallorca                | BA                             | bhutan                                       | T29 0XE    |
| Telde                            | Canarias                       | bhutan                                       | 35573      |
| Breda                            | N.                             | bhutan                                       | T4B 2H2    |
| Ayd?n                            | Ayd?n                          | bhutan                                       | 7934       |
| Dublin                           | L                              | bhutan                                       | 09962      |
| Châtellerault                    | Poitou-Charentes               | bermuda                                      | 133058     |
| Pozna?                           | Wielkopolskie                  | bermuda                                      | 94870      |
| Toru?                            | KP                             | bermuda                                      | 16366      |
| Malkajgiri                       | AP                             | bermuda                                      | 835603     |
| Cartagena                        | Murcia                         | bermuda                                      | 38399-517  |
| Queanbeyan                       | NSW                            | bermuda                                      | 40158      |
| Hamburg                          | HH                             | bermuda                                      | 48001      |
| Mielec                           | PK                             | bermuda                                      | G9K 1G3    |
| Vienna                           | Wie                            | benin                                        | 83971-579  |
| Whitehorse                       | Yukon                          | benin                                        | Y3V 2Y4    |
| Istanbul                         | Istanbul                       | benin                                        | 1125       |
| Helensburgh                      | DN                             | benin                                        | 717157     |
| Lacombe                          | Alberta                        | benin                                        | 4243       |
| Arrah                            | Bihar                          | benin                                        | 4384       |
| Whakatane                        | NI                             | benin                                        | 82455-202  |
| Oyace                            | VDA                            | benin                                        | 03811      |
| Whyalla                          | South Australia                | benin                                        | 37699      |
| Tarnów                           | MP                             | benin                                        | 0001       |
| Izmir                            | ?zmir                          | belize                                       | 6461       |
| Gary                             | IN                             | belize                                       | 49074      |
| Istanbul                         | Istanbul                       | belize                                       | 71-038     |
| Indianapolis                     | Indiana                        | belize                                       | 56928      |
| Rexton                           | NB                             | belize                                       | 371058     |
| Uyo                              | AK                             | belize                                       | 452156     |
| Santo Stefano del Sole           | CAM                            | belize                                       | 4456       |
| Ikot Ekpene                      | Akwa Ibom                      | belize                                       | 922813     |
| Athens                           | GA                             | belize                                       | 41357      |
| Vienna                           | Wie                            | belize                                       | 70913      |
| Heilbronn                        | BW                             | belize                                       | 64-150     |
| Çald?ran                         | Van                            | belgium                                      | 11611      |
| LaSalle                          | QC                             | belgium                                      | 670656     |
| Saskatoon                        | Saskatchewan                   | belgium                                      | 978750     |
| Vienna                           | Vienna                         | belgium                                      | 793549     |
| Raurkela Civil Township          | Odisha                         | belgium                                      | 50719      |
| Istanbul                         | Istanbul                       | belgium                                      | R3K 3ZE    |
| Whakatane                        | NI                             | belgium                                      | 6875       |
| Maubeuge                         | NO                             | belgium                                      | FD0S 0AE   |
| San Pablo                        | Heredia                        | belgium                                      | 586519     |
| Vienna                           | Vienna                         | belarus                                      | 674670     |
| Newcastle                        | NSW                            | belarus                                      | M74 1GX    |
| Sluis                            | Zeeland                        | belarus                                      | 40173      |
| Berg                             | VB                             | belarus                                      | 67433      |
| Mal                              | Limburg                        | belarus                                      | 7140       |
| San José de Alajuela             | A                              | belarus                                      | 2076       |
| Rouyn-Noranda                    | Quebec                         | belarus                                      | 89353      |
| Granada                          | AN                             | belarus                                      | 28110      |
| Dhanbad                          | JH                             | belarus                                      | Y3B 8G8    |
| Torre Cajetani                   | Lazio                          | belarus                                      | 56371      |
| Broxburn                         | West Lothian                   | belarus                                      | 4317       |
| Vienna                           | Vienna                         | barbados                                     | 49542      |
| Zoetermeer                       | Z.                             | barbados                                     | US2V 2EV   |
| Kapolei                          | Hawaii                         | barbados                                     | 03740      |
| Nancy                            | LO                             | barbados                                     | 87-472     |
| Almelo                           | Overijssel                     | barbados                                     | 6499       |
| Lagos                            | Lagos                          | barbados                                     | 25158      |
| Tilburg                          | N.                             | barbados                                     | 58366      |
| L'Hospitalet de Llobregat        | CA                             | bangladesh                                   | 19761      |
| San Lorenzo                      | Calabria                       | bangladesh                                   | 3608AT     |
| Springfield                      | Massachusetts                  | bangladesh                                   | 64394      |
| Lublin                           | LU                             | bangladesh                                   | K3N 8V5    |
| Vienna                           | Wie                            | bangladesh                                   | E2E 8J3    |
| Haguenau                         | Alsace                         | bangladesh                                   | 5554       |
| ?ód?                             | ?ódzkie                        | bangladesh                                   | 73189      |
| Rankweil                         | Vbg                            | bangladesh                                   | 9281       |
| Scandriglia                      | Lazio                          | bangladesh                                   | 58402      |
| Colchester                       | VT                             | bahrain                                      | 25634      |
| Sandy                            | Utah                           | bahrain                                      | VG98 1YU   |
| Guildford                        | Surrey                         | bahrain                                      | N7 0CB     |
| Radom                            | MA                             | bahrain                                      | H2L 3C6    |
| Allappuzha                       | Kerala                         | bahrain                                      | 34711      |
| Berlin                           | BE                             | bahrain                                      | 264490     |
| Galashiels                       | Selkirkshire                   | bahrain                                      | 17901      |
| João Pessoa                      | Paraíba                        | bahamas                                      | 62-654     |
| New Westminster                  | BC                             | bahamas                                      | 7779       |
| Lublin                           | LU                             | bahamas                                      | 2306       |
| Dublin                           | Leinster                       | bahamas                                      | 28985      |
| Fort Worth                       | Texas                          | bahamas                                      | 02279      |
| Jammu                            | Jammu and Kashmir              | bahamas                                      | 1576       |
| Mannheim                         | Baden                          | bahamas                                      | 04-240     |
| Sacramento                       | CA                             | azerbaijan                                   | 2393       |
| Bremen                           | HB                             | azerbaijan                                   | 47492      |
| Chapra                           | BR                             | azerbaijan                                   | 227191     |
| Hastings                         | NI                             | azerbaijan                                   | 6732       |
| Minucciano                       | TOS                            | azerbaijan                                   | 4425TY     |
| Helena                           | Montana                        | azerbaijan                                   | 8931       |
| Kailua                           | HI                             | azerbaijan                                   | 36022      |
| Lochgilphead                     | Argyllshire                    | azerbaijan                                   | 92806      |
| Hamburg                          | HH                             | austria                                      | L2N 2V7    |
| Dubbo                            | NSW                            | austria                                      | 1369       |
